# address	flags	name   (generated by lifted_oracle_plan.py)
0x006049f0	ok	?set_def_button_color@BasePop@@QAAXHHHH@Z
0x00604a20	ok	?set_def_button_color2@BasePop@@QAAXHHHH@Z
0x00604a50	ok	?set_def_button_color3@BasePop@@QAAXHHHH@Z
0x00604a80	undef=4	?on_modal@BasePop@@QAAHXZ
0x00604a90	undef=4	?fallout@BasePop@@QAAXXZ
0x00604ab0	extcall,fs,iat,indirect,x87	?on_redraw@BasePop@@QAEXXZ
0x00604e40	extcall,fs,iat,indirect,x87	?basepop_alloc@BasePop@@QAEHXZ
0x00604ea0	extcall,iat,indirect,undef=4	?UNK2@BasePop@@QAEHXZ
0x00605010	undef=4	?set_external_window@BasePop@@QAEXPAUGraphicWin@@HHHH@Z
0x006050f0	ok	?set_def_external_window@BasePop@@QAAXPAUGraphicWin@@HHHH@Z
0x00605130	indirect,undef=4	?on_left_down@BasePop@@QAEXHH@Z
0x00605180	undef=4	?UNK3@BasePop@@QAEXH@Z
0x006051a0	undef=4	?UNK4@BasePop@@QAEXH@Z
0x006051c0	iat,indirect	sub_6051c0
0x006051d0	extcall,fs,iat,indirect,x87	??0Scroll@@QAE@XZ
0x00605370	extcall,fs,iat,indirect,x87	?close@Scroll@@QAEXXZ
0x006054d0	extcall,fs,iat,indirect,undef=4,x87	?init@Scroll@@QAEHHHHHPAUWin@@HH@Z
0x00605840	extcall,fs,iat,indirect,undef=4,x87	?init@Scroll@@QAEHPAURECT@@PAUWin@@HH@Z
0x00605890	extcall,fs,iat,indirect,undef=4,x87	?init_vert@Scroll@@QAEHHHHPAUWin@@H@Z
0x006058d0	extcall,fs,iat,indirect,undef=4,x87	?init_horz@Scroll@@QAEHHHHPAUWin@@H@Z
0x00605910	extcall,fs,iat,indirect,undef=4,x87	?init_vert_nc@Scroll@@QAEHHHHPAUWin@@H@Z
0x00605960	extcall,fs,iat,indirect,undef=4,x87	?init_horz_nc@Scroll@@QAEHHHHPAUWin@@H@Z
0x006059b0	indirect	?set_range@Scroll@@QAEXHH@Z
0x00605a10	indirect	?set_button_color@Scroll@@QAEXH@Z
0x00605a50	indirect	?set_bevel_thickness@Scroll@@QAEXH@Z
0x00605a90	indirect	?set_bevel_upper@Scroll@@QAEXH@Z
0x00605ad0	indirect	?set_bevel_lower@Scroll@@QAEXH@Z
0x00605b10	ok	?set_border_color@Scroll@@QAEXH@Z
0x00605b80	ok	?set_bar_thickness@Scroll@@QAEXH@Z
0x00605be0	ok	?set_sprite_left@Scroll@@QAEXPAUSprite@@PAUSprite@@PAUSprite@@@Z
0x00605c30	ok	?set_sprite_right@Scroll@@QAEXPAUSprite@@PAUSprite@@PAUSprite@@@Z
0x00605c80	ok	?UNK1@Scroll@@QAEXPAUSprite@@PAUSprite@@PAUSprite@@@Z
0x00605cd0	ok	?UNK2@Scroll@@QAEXPAUSprite@@PAUSprite@@PAUSprite@@@Z
0x00605d20	indirect,undef=4	?set_pos@Scroll@@QAEXH@Z
0x00605d90	iat,indirect	?on_mouse_move@Scroll@@QAEXHH@Z
0x006061e0	indirect	?on_left_down@Scroll@@QAEXHH@Z
0x006062c0	indirect,undef=4	?on_left_up@Scroll@@QAEXHH@Z
0x00606310	ok	?on_left_click@Scroll@@QAEHHH@Z
0x00606320	indirect,undef=4	?on_mousewheel_down@Scroll@@QAEXH@Z
0x00606440	indirect,undef=4	?on_mousewheel_up@Scroll@@QAEXH@Z
0x00606560	indirect,undef=4	?on_key_click@Scroll@@QAEHHH@Z
0x006066f0	extcall,fs,iat,indirect,x87	?on_redraw@Scroll@@QAEXXZ
0x00606860	indirect	?on_resize@Scroll@@QAEXHH@Z
0x006069a0	iat,indirect,undef=4	?on_button_pressed@Scroll@@QAEXH@Z
0x00606b20	indirect,undef=4	?on_button_clicked@Scroll@@QAEXH@Z
0x00606c50	ok	?compute_thumb_rect@Scroll@@QAEXPAURECT@@@Z
0x00606ea0	ok	?set_thumb_rect@Scroll@@QAEXXZ
0x00606f00	ok	sub_606f00
0x00606f30	extcall,fs,iat,indirect,x87	??0BaseButton@@QAE@XZ
0x00607040	extcall,fs,iat,indirect,x87	??1BaseButton@@QAE@XZ
0x006070c0	extcall,fs,iat,indirect,x87	?close@BaseButton@@QAEXXZ
0x00607190	extcall,fs,iat,indirect,undef=4,x87	?UNK1@BaseButton@@QAEHPAUFont@@PADHHHHPAUWin@@H@Z
0x00607210	extcall,fs,iat,indirect,undef=4,x87	?init@BaseButton@@QAEHPADHHHHHPAUWin@@H@Z
0x00607360	iat,indirect,undef=4	?set_text_color@BaseButton@@QAEXHHHH@Z
0x006073a0	iat,indirect,undef=4	?set_text_color2@BaseButton@@QAEXHHHH@Z
0x006073e0	iat,indirect,undef=4	?set_text_color3@BaseButton@@QAEXHHHH@Z
0x00607420	ok	?set_def_text_color@BaseButton@@QAAXHHHH@Z
0x00607450	ok	?set_def_text_color2@BaseButton@@QAAXHHHH@Z
0x00607480	ok	?set_def_text_color3@BaseButton@@QAAXHHHH@Z
0x006074b0	undef=4	?set_def_font@BaseButton@@QAAHPAUFont@@PAUFont@@PAUFont@@@Z
0x006074e0	extcall,iat,indirect,undef=4	?set_name@BaseButton@@QAEHPAD@Z
0x00607550	extcall,iat,indirect,undef=4	?set_bubble_text@BaseButton@@QAEHPAD@Z
0x006075c0	extcall,fs,iat,indirect,undef=4,x87	?on_left_down@BaseButton@@QAEXHH@Z
0x00607720	iat,indirect,undef=4	?on_left_up@BaseButton@@QAEXHH@Z
0x006077f0	undef=4	?on_key_click@BaseButton@@QAEXHH@Z
0x00607800	undef=4	?on_key_down@BaseButton@@QAEXH@Z
0x00607810	undef=4	?on_key_up@BaseButton@@QAEXH@Z
0x00607820	indirect	?on_mouse_leave@BaseButton@@QAEXHH@Z
0x00607850	iat,indirect	?on_mouse_move@BaseButton@@QAEXHH@Z
0x00607a00	extcall,fs,iat,indirect,undef=4,x87	?on_right_click@BaseButton@@QAEXHH@Z
0x00607a20	indirect,undef=4	?on_left_click@BaseButton@@QAEXHH@Z
0x00607b00	indirect	?on_dialog_focus@BaseButton@@QAEXH@Z
0x00607b10	extcall,fs,iat,indirect,undef=4,x87	?timer_callback_daemon@BaseButton@@QAAXHH@Z
0x00607b30	extcall,fs,iat,indirect,x87	?timer_callback@BaseButton@@QAEXH@Z
0x00607c30	indirect,undef=4	?UNK2@BaseButton@@QAEXXZ
0x00607c80	indirect,undef=4	?set@BaseButton@@QAEXH@Z
0x00607cc0	extcall,fs,iat,indirect,undef=4,x87	??_GBaseButton@@UAEPAXI@Z
0x00607ce0	extcall,fs,iat,indirect,x87	??3BaseButton@@SAXPAXI@Z
0x00607cf0	extcall,fs,iat,indirect,x87	??0FlatButton@@QAE@XZ
0x00607da0	extcall,fs,iat,indirect,x87	?close@FlatButton@@QAEXXZ
0x00607e50	extcall,fs,iat,indirect,x87	?on_redraw@FlatButton@@QAEXXZ
0x00608500	extcall,fs,iat,indirect,x87	?on_mouse_move@FlatButton@@QAEXHH@Z
0x00608660	extcall,fs,iat,indirect,x87	?on_mouse_leave@FlatButton@@QAEXHH@Z
0x006086f0	extcall,iat,indirect,undef=4	?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
0x00608770	extcall,iat,indirect,undef=4	?kill_entry@StringList@@QAEXPAUStringStruct@@@Z
0x006087a0	extcall	?sort@StringList@@QAEXH@Z
0x00608980	extcall,fs,iat,indirect	?load@StringList@@QAEHPADPADHP6AXPAD@Z@Z
0x00608ba0	extcall,iat,indirect	?add_special@StringList@@QAEXPAD@Z
0x00608c00	extcall,iat,indirect	??1Text@@QAE@XZ
0x00608c10	undef=4	??0Dialog@@QAE@XZ
0x00608e10	extcall,fs,iat,indirect	??1Dialog@@QAE@XZ
0x00608f50	extcall,iat,indirect,undef=4	?close@Dialog@@QAEXXZ
0x00609150	extcall,iat,indirect,undef=4	?init@Dialog@@QAEHXZ
0x00609300	extcall,iat,indirect,undef=4	?init@Dialog@@QAEHHHHHH@Z
0x00609470	extcall,iat,indirect,undef=4	?init@Dialog@@QAEHPAURECT@@H@Z
0x006095f0	extcall,iat,indirect,undef=4	?init@Dialog@@QAEHH@Z
0x00609730	extcall,iat,indirect,undef=4	?init@Dialog@@QAEHHHHHPAUHeap@@@Z
0x006097f0	extcall,iat,indirect,undef=4	?init@Dialog@@QAEHPAURECT@@PAUHeap@@@Z
0x006098d0	extcall,iat,indirect,undef=4	?init@Dialog@@QAEHPAUHeap@@@Z
0x00609970	indirect	?UNK1@Dialog@@QAEXHH@Z
0x00609990	extcall,iat,indirect,undef=4	?item@Dialog@@QAEHPADH@Z
0x006099d0	ok	?set_selected_id@Dialog@@QAEXH@Z
0x00609a50	extcall,undef=4	?get_selected_id@Dialog@@QAEHXZ
0x00609af0	ok	?id_to_pos@Dialog@@QAEHH@Z
0x00609b50	extcall,undef=4	?pos_to_id@Dialog@@QAEHH@Z
0x00609bf0	iat,indirect,undef=4	?UNK2@Dialog@@QAEXHHHH@Z
0x00609c60	undef=4	?set_dialog_font@Dialog@@QAEHPAUFont@@PAUFont@@PAUFont@@@Z
0x00609c90	ok	?set_dialog_text_color@Dialog@@QAEXHHHH@Z
0x00609cc0	ok	?set_dialog_text_color2@Dialog@@QAEXHHHH@Z
0x00609cf0	ok	?set_dialog_text_color3@Dialog@@QAEXHHHH@Z
0x00609d20	undef=4	?set_def_dialog_font@Dialog@@QAAHPAUFont@@PAUFont@@PAUFont@@@Z
0x00609d50	undef=4	?set_def_dialog_text_color@Dialog@@QAAXHHHHH@Z
0x00609d90	extcall,fs,iat,indirect,undef=4	??_GDialog@@UAEPAXI@Z
0x00609db0	extcall,fs,iat,indirect,x87	??0ListBox@@QAE@H@Z
0x00609ec0	extcall,fs,iat,indirect,x87	??1ListBox@@QAE@XZ
0x00609f20	extcall,fs,iat,indirect,undef=4,x87	?close@ListBox@@QAEXXZ
0x00609fa0	extcall,indirect	?set_selected_id@ListBox@@QAEXH@Z
0x0060a020	extcall,indirect,undef=4	?set_selected_pos@ListBox@@QAEXHH@Z
0x0060a1e0	extcall,iat,indirect,undef=4	?calculate_dimensions@ListBox@@QAEHXZ
0x0060a670	extcall,fs,iat,indirect,undef=4,x87	?attach@ListBox@@QAEHPAUGraphicWin@@HHH@Z
0x0060aa20	indirect	?on_right_down@ListBox@@QAEXHH@Z
0x0060aa60	extcall,iat,indirect,undef=4	?on_left_down@ListBox@@QAEXHH@Z
0x0060af90	extcall,iat,indirect,undef=4	?on_key_down@ListBox@@QAEXH@Z
0x0060b530	extcall,iat,indirect	?draw_item@ListBox@@QAEXH@Z
0x0060c1e0	iat,indirect	?UNK1@ListBox@@QAEXH@Z
