source_idc_sha256,address,end_address,size,body_ranges,name,prototype,flags,binary_kind
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402CC0,0x00402D0B,75,0x00402CC0-0x00402D0B,sub_402CC0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402D10,0x00402D7C,108,0x00402D10-0x00402D7C,sub_402D10,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402D80,0x00402DC2,66,0x00402D80-0x00402DC2,sub_402D80,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402DD0,0x00402ED2,279,0x00402DD0-0x00402ED2;0x006505A0-0x006505B5,sub_402DD0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402EE0,0x00402F08,40,0x00402EE0-0x00402F08,sub_402EE0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402F10,0x00402F26,22,0x00402F10-0x00402F26,sub_402F10,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402F30,0x00402F3A,10,0x00402F30-0x00402F3A,unknown_libname_1,void __cdecl unknown_libname_1();,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00402F40,0x00403199,622,0x00402F40-0x00403199;0x006505C0-0x006505D5,sub_402F40,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004031A0,0x00403292,242,0x004031A0-0x00403292,sub_4031A0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004032A0,0x00403335,149,0x004032A0-0x00403335,sub_4032A0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403340,0x00403544,516,0x00403340-0x00403544,sub_403340,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403550,0x0040360F,191,0x00403550-0x0040360F,sub_403550,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403610,0x00403613,3,0x00403610-0x00403613,sub_403610,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403620,0x00403677,87,0x00403620-0x00403677,sub_403620,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403680,0x0040382F,431,0x00403680-0x0040382F,sub_403680,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403830,0x00403AE5,693,0x00403830-0x00403AE5,sub_403830,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403AF0,0x00403B70,128,0x00403AF0-0x00403B70,sub_403AF0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403B70,0x00403B94,36,0x00403B70-0x00403B94,sub_403B70,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403BA0,0x00403BDF,63,0x00403BA0-0x00403BDF,sub_403BA0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00403BE0,0x0040400D,1321,0x00403BE0-0x0040400D;0x006505E0-0x006506DC,sub_403BE0,int __cdecl sub_403BE0(char *Source);,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404010,0x00404067,105,0x00404010-0x00404067;0x006506DC-0x006506EE,sub_404010,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404070,0x004041BF,335,0x00404070-0x004041BF,sub_404070,"int __thiscall sub_404070(int, char *Source);",0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004041C0,0x004041D2,18,0x004041C0-0x004041D2,sub_4041C0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404210,0x00404220,16,0x00404210-0x00404220,sub_404210,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404220,0x00404225,5,0x00404220-0x00404225,sub_404220,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404230,0x0040423A,10,0x00404230-0x0040423A,unknown_libname_2,,0x5454,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404240,0x00404245,5,0x00404240-0x00404245,sub_404240,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404250,0x00404255,5,0x00404250-0x00404255,sub_404250,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404260,0x00404263,3,0x00404260-0x00404263,nullsub_20,,0x5440,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404270,0x00404273,3,0x00404270-0x00404273,nullsub_21,,0x5440,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404280,0x00404281,1,0x00404280-0x00404281,nullsub_22,,0x5440,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404290,0x00404298,8,0x00404290-0x00404298,sub_404290,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004042A0,0x004042A8,8,0x004042A0-0x004042A8,sub_4042A0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004042B0,0x004042B3,3,0x004042B0-0x004042B3,??0Iostream_init@@QAE@XZ,Iostream_init *__thiscall Iostream_init__Iostream_init(Iostream_init *__hidden this);,0x5444,library
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004042C0,0x00404309,94,0x004042C0-0x00404309;0x006506F0-0x00650705,sub_4042C0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404310,0x00404395,176,0x00404310-0x00404395;0x00650710-0x0065073B,sub_404310,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004043A0,0x004043C1,33,0x004043A0-0x004043C1,sub_4043A0,"int __thiscall sub_4043A0(void *Block, char);",0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004043D0,0x0040441C,100,0x004043D0-0x0040441C;0x00650740-0x00650758,sub_4043D0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404420,0x0040442B,11,0x00404420-0x0040442B,sub_404420,,0x5400,game
