class,offset,name,size,type
AlphaNet,0x9AC,field_9AC,4,
AlphaNet,0x9B0,field_9B0,4,
AlphaNet,0x9B4,field_9B4,4,
AlphaNet,0x9B8,field_9B8,4,
AlphaNet,0x9BC,field_9BC,4,
AlphaNet,0x9C0,field_9C0,4,
AlphaNet,0x9C4,field_9C4,4,
AlphaNet,0x9C8,field_9C8,4,
AlphaNet,0x9CC,field_9CC,4,
AlphaNet,0x9D0,field_9D0,4,
AlphaNet,0x9D4,field_9D4,4,
AlphaNet,0x9D8,field_9D8,4,
AlphaNet,0x9DC,field_9DC,4,
AlphaNet,0x9E0,field_9E0,4,
AlphaNet,0x9E4,field_9E4,4,
AlphaNet,0x9E8,field_9E8,4,
AlphaNet,0x9EC,field_9EC,4,
AlphaNet,0x9F0,field_9F0,4,
AlphaNet,0x9F4,field_9F4,4,
AlphaNet,0x9F8,field_9F8,4,
AlphaNet,0x9FC,field_9FC,4,
AlphaNet,0xA00,field_A00,4,
AlphaNet,0xA04,field_A04,4,
AlphaNet,0xA08,field_A08,4,
AlphaNet,0xA0C,field_A0C,4,
AlphaNet,0xA10,field_A10,4,
AlphaNet,0xA14,field_A14,4,
AlphaNet,0xA18,field_A18,4,
AlphaNet,0xA1C,field_A1C,4,
AlphaNet,0xA20,field_A20,4,
AlphaNet,0xA24,field_A24,4,
AlphaNet,0xA28,field_A28,4,
AlphaNet,0xA2C,field_A2C,4,
AlphaNet,0xA30,field_A30,4,
AlphaNet,0xA34,field_A34,4,
AlphaNet,0xA38,field_A38,4,
AlphaNet,0xA3C,field_A3C,4,
AlphaNet,0xA40,field_A40,4,
AlphaNet,0xA44,field_A44,4,
AlphaNet,0xA48,field_A48,4,
AlphaNet,0xA4C,field_A4C,4,
AlphaNet,0xA50,field_A50,4,
AlphaNet,0xA54,field_A54,4,
AlphaNet,0xA58,field_A58,4,
AlphaNet,0xA5C,field_A5C,4,
AlphaNet,0xA60,field_A60,4,
AlphaNet,0xA64,field_A64,4,
AlphaNet,0xA68,field_A68,4,
AlphaNet,0xA6C,field_A6C,4,
AlphaNet,0xA70,field_A70,4,
AlphaNet,0xA74,field_A74,4,
AlphaNet,0xA78,field_A78,4,
AlphaNet,0xA7C,field_A7C,4,
AlphaNet,0xA80,field_A80,4,
AlphaNet,0xA84,field_A84,4,
AlphaNet,0xA88,field_A88,4,
AlphaNet,0xA8C,field_A8C,4,
AlphaNet,0xA90,field_A90,4,
AlphaNet,0xA94,field_A94,4,
AlphaNet,0xA98,field_A98,4,
AlphaNet,0xA9C,field_A9C,4,
AlphaNet,0xAA0,field_AA0,4,
AlphaNet,0xAA4,field_AA4,4,
AlphaNet,0xAA8,field_AA8,4,
AlphaNet,0xAAC,field_AAC,4,
AlphaNet,0xAB0,field_AB0,4,
AlphaNet,0xAB4,field_AB4,4,
AlphaNet,0xAB8,field_AB8,4,
AlphaNet,0xABC,field_ABC,4,
AlphaNet,0xAC0,field_AC0,4,
AlphaNet,0xAC4,field_AC4,4,
AlphaNet,0xAC8,field_AC8,4,
AlphaNet,0xACC,field_ACC,4,
AlphaNet,0xAD0,field_AD0,4,
AlphaNet,0xAD4,field_AD4,4,
AlphaNet,0xAD8,field_AD8,4,
AlphaNet,0xADC,field_ADC,4,
AlphaNet,0xAE0,field_AE0,4,
AlphaNet,0xAE4,field_AE4,4,
AlphaNet,0xAE8,field_AE8,4,
AlphaNet,0xAEC,field_AEC,4,
AlphaNet,0xAF0,field_AF0,4,
AlphaNet,0xAF4,field_AF4,4,
AlphaNet,0xAF8,field_AF8,4,
AlphaNet,0xAFC,field_AFC,4,
AlphaNet,0xB00,field_B00,4,
AlphaNet,0xB04,field_B04,4,
AlphaNet,0xB08,field_B08,4,
AlphaNet,0xB0C,field_B0C,4,
AlphaNet,0xB10,field_B10,4,
AlphaNet,0xB14,field_B14,4,
AlphaNet,0xB18,field_B18,4,
AlphaNet,0xB1C,field_B1C,4,
AlphaNet,0xB20,field_B20,4,
AlphaNet,0xB24,field_B24,4,
AlphaNet,0xB28,field_B28,4,
