address,name,argument_count,evidence
0x006239E0,Texture::draw_upper_threshold_trans2,5,"IDA 9.4 guess_type int __stdcall(int, int, int, int, int)"
0x00624670,Texture::draw2,7,"IDA 9.4 guess_type int __stdcall(int, int, int, int, int, int, int)"
0x00624EB0,sub_624eb0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00625080,sub_625080,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00626470,sub_626470,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00626900,sub_626900,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00627110,sub_627110,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00627D00,sub_627d00,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00627E20,sub_627e20,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00627F50,sub_627f50,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x006280E0,sub_6280e0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00628150,sub_628150,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00628180,sub_628180,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x006281B0,sub_6281b0,3,"IDA 9.4 guess_type int __cdecl(int, float, int)"
0x006281E0,sub_6281e0,1,IDA 9.4 guess_type int __cdecl(int)
0x00628220,sub_628220,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00628290,sub_628290,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x006282E0,sub_6282e0,3,"IDA 9.4 guess_type int __cdecl(int, float, int)"
0x00628F30,sub_628f30,0,IDA 9.4 guess_type int()
0x0062C860,Callback,4,"IDA 9.4 guess_type BOOL __stdcall(GUID *, LPSTR, LPSTR, LPVOID)"
0x0062C8E0,sub_62c8e0,0,IDA 9.4 guess_type int()
0x0062CD10,sub_62cd10,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x0062CD50,sub_62cd50,1,IDA 9.4 guess_type int __cdecl(int)
0x0062D100,sub_62d100,0,IDA 9.4 guess_type int()
0x0062D140,sub_62d140,0,IDA 9.4 guess_type int()
0x0062D150,nullsub_253,0,IDA 9.4 guess_type int()
0x0062D1E0,sub_62d1e0,1,IDA 9.4 guess_type int __cdecl(RECT *lprcSrc2)
0x0062D2C0,sub_62d2c0,0,IDA 9.4 guess_type int()
0x0062D390,sub_62d390,0,IDA 9.4 guess_type int()
0x0062D5F0,sub_62d5f0,0,IDA 9.4 guess_type int()
0x0062EE20,sub_62ee20,5,"IDA 9.4 guess_type int __stdcall(int, int, int, int, int)"
0x0062EE80,nullsub_261,0,IDA 9.4 guess_type int()
0x0062EE90,nullsub_262,0,IDA 9.4 guess_type int()
0x0062F390,sub_62f390,5,"IDA 9.4 guess_type int __stdcall(void *Src, size_t Size, int, int, int)"
0x00630A80,sub_630a80,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00630B00,sub_630b00,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00630B80,sub_630b80,1,IDA 9.4 guess_type int __stdcall(int)
0x00630C30,sub_630c30,4,"IDA 9.4 guess_type int __stdcall(int, int, int, int)"
0x00630D70,sub_630d70,0,IDA 9.4 guess_type int()
0x00631050,sub_631050,0,IDA 9.4 guess_type int()
0x00631A10,nullsub_256,0,IDA 9.4 guess_type int()
0x00631BA0,sub_631ba0,1,IDA 9.4 guess_type int __stdcall(int)
0x00632290,sub_632290,1,IDA 9.4 guess_type int __stdcall(int)
0x00632740,sub_632740,1,IDA 9.4 guess_type void __cdecl(void *)
0x00632CC0,sub_632cc0,3,"IDA 9.4 guess_type int __stdcall(char *Source, int, char)"
0x00633010,sub_633010,0,IDA 9.4 guess_type int()
0x00633160,sub_633160,2,"IDA 9.4 guess_type int __thiscall(void *Block, char)"
0x00633180,sub_633180,1,IDA 9.4 guess_type int __stdcall(int)
0x006336D0,sub_6336d0,2,"IDA 9.4 guess_type int __thiscall(void *Block, char)"
0x00633720,j_VoiceRx__VoiceRx_dt,0,IDA 9.4 guess_type int()
0x00633730,sub_633730,1,IDA 9.4 guess_type int __stdcall(int)
0x00633740,sub_633740,1,IDA 9.4 guess_type int __stdcall(char)
0x00633BA0,sub_633ba0,5,"IDA 9.4 guess_type int __stdcall(void *Src, size_t Size, int, int, int)"
0x00633C90,sub_633c90,4,"IDA 9.4 guess_type int __stdcall(void *, int, int, int)"
0x00633E80,sub_633e80,4,"IDA 9.4 guess_type int __stdcall(void *, int, int, int)"
0x006340C0,sub_6340c0,4,"IDA 9.4 guess_type int __stdcall(void *, int, int, int)"
0x00634200,sub_634200,4,"IDA 9.4 guess_type int __stdcall(void *, int, int, int)"
0x00634280,sub_634280,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x00634330,sub_634330,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x006343E0,sub_6343e0,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00634520,sub_634520,1,IDA 9.4 guess_type int __stdcall(int)
0x006345E0,sub_6345e0,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x006346C0,sub_6346c0,0,IDA 9.4 guess_type int()
0x006346F0,sub_6346f0,0,IDA 9.4 guess_type int()
0x00634720,sub_634720,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x006347C0,sub_6347c0,1,IDA 9.4 guess_type int __stdcall(int)
0x006347F0,sub_6347f0,1,IDA 9.4 guess_type int __stdcall(int)
0x006348F0,sub_6348f0,1,IDA 9.4 guess_type int __stdcall(int)
0x00634920,sub_634920,1,IDA 9.4 guess_type int __stdcall(int)
0x00634980,sub_634980,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00634A50,sub_634a50,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00634AD0,sub_634ad0,2,"IDA 9.4 guess_type int __stdcall(int, float)"
0x00634B70,sub_634b70,0,IDA 9.4 guess_type int()
0x00635410,sub_635410,0,IDA 9.4 guess_type int()
0x00635450,sub_635450,0,IDA 9.4 guess_type void __cdecl()
0x006354D0,sub_6354d0,0,IDA 9.4 guess_type int()
0x00635510,sub_635510,4,"IDA 9.4 guess_type int __stdcall(int, int, int, int)"
0x00635750,sub_635750,0,IDA 9.4 guess_type int()
0x006357D0,sub_6357d0,0,IDA 9.4 guess_type int()
0x00635870,sub_635870,1,IDA 9.4 guess_type int __stdcall(int)
0x006363F0,sub_6363f0,0,IDA 9.4 guess_type int()
0x006365B0,Video_unk1,0,IDA 9.4 guess_type int()
0x00636740,Video_unk2,0,IDA 9.4 guess_type int()
0x00636850,Video_unk3,4,"IDA 9.4 guess_type int __stdcall(int, int, int, int)"
0x006368D0,Video_unk4,4,"IDA 9.4 guess_type int __stdcall(int, int, int, int)"
0x00636960,Video_unk5,2,"IDA 9.4 guess_type int __stdcall(LPSTR pszFileName, int)"
0x00637190,Video_unk7,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x006371D0,Video_unk10,1,IDA 9.4 guess_type int __stdcall(int)
0x00637310,Video_unk12,2,"IDA 9.4 guess_type int __stdcall(int, int)"
0x00637530,Video_unk13,0,IDA 9.4 guess_type int()
0x00638090,Video_unk14,1,IDA 9.4 guess_type int __stdcall(int)
0x00638130,Video_unk15,1,IDA 9.4 guess_type int __stdcall(int)
0x006381E0,Video_unk16,0,IDA 9.4 guess_type int()
0x006381F0,sub_6381f0,1,IDA 9.4 guess_type int __cdecl(int)
0x00638430,sub_638430,1,IDA 9.4 guess_type int __cdecl(int)
0x006385D0,sub_6385d0,2,"IDA 9.4 guess_type int __cdecl(int, float)"
0x00638620,sub_638620,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x00638650,sub_638650,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x006386B0,sub_6386b0,2,"IDA 9.4 guess_type int __cdecl(int, int)"
0x006386D0,sub_6386d0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00638720,sub_638720,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x006388C0,sub_6388c0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00638AD0,sub_638ad0,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x00638CC0,sub_638cc0,3,"IDA 9.4 guess_type int __cdecl(int, int, int)"
0x00638DE0,sub_638de0,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
0x00638F30,sub_638f30,4,"IDA 9.4 guess_type int __cdecl(int, int, int, int)"
