address,name,source_location,generated,size,span_classes,tier,original_bytes,rebuilt_bytes,original_mnemonics,rebuilt_mnemonics,first_divergence,note,refusal_reason
0x00613220,?on_scroll_create@Dialogs@@QAEHXZ,src/recovered/units/00613220.cpp,0,52,primary=1;eh=0;shared=0;selfmod=0,MISMATCH,52,51,17,16,13,#13: original 'call' vs rebuilt 'jmp',
0x00613260,?on_scroll_delete@Dialogs@@QAEHPAUScroll@@@Z,src/recovered/units/00613260.cpp,0,63,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,63,63,,,,,
0x006132A0,?calculate_dimensions@Dialogs@@QAEHXZ,src/recovered/006132a0.cpp,0,88,primary=1;eh=0;shared=0;selfmod=0,BYTE_EXACT,88,88,,,,,
0x00613740,?get_num_items@Dialogs@@QAEHXZ,src/dialogs_recovery.cpp:71,0,50,,REFUSED,,,,,,,C++ standard library: VC6's headers differ enough to be noise
0x00613790,??__Eg_FILEWIN_SPRITE_1@@YAXXZ,src/init_thunks.cpp:4433,1,22,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00613790.cpp(86) : error C2065: 'g_FILEWIN_SPRITE_1' : undeclared identifier
u00613790.cpp(86) : error C2065: 'SpriteInitCtor' : undeclared identifier
u00613790.cpp(86) : error C2297: '->*' : illegal, right operand has type 'int'
u00613790.cpp(87) : error C2065: 'GameAtexit' : undeclared identifier
u00613790.cpp(87) : error C2061: syntax error : identifier 'func_atexit_callback'
Generating Code...
Compiling..."
0x006137B0,??__Fg_FILEWIN_SPRITE_1@@YAXXZ,src/guarded_teardowns.cpp:343,0,31,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006137b0.cpp(64) : error C2065: 'TeardownFlags009B9014' : undeclared identifier
u006137b0.cpp(64) : error C2100: illegal indirection
u006137b0.cpp(70) : error C2100: illegal indirection
u006137b0.cpp(71) : error C2065: 'g_FILEWIN_SPRITE_1' : undeclared identifier
u006137b0.cpp(71) : error C2065: 'TeardownTarget005E3820' : undeclared identifier
u006137b0.cpp(71) : error C2297: '->*' : illegal, right operand has type 'int'"
0x006137D0,??__Eg_FILEWIN_SPRITE_2@@YAXXZ,src/init_thunks.cpp:4444,1,22,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006137d0.cpp(86) : error C2065: 'g_FILEWIN_SPRITE_2' : undeclared identifier
u006137d0.cpp(86) : error C2065: 'SpriteInitCtor' : undeclared identifier
u006137d0.cpp(86) : error C2297: '->*' : illegal, right operand has type 'int'
u006137d0.cpp(87) : error C2065: 'GameAtexit' : undeclared identifier
u006137d0.cpp(87) : error C2061: syntax error : identifier 'func_atexit_callback'"
0x006137F0,??__Fg_FILEWIN_SPRITE_2@@YAXXZ,src/guarded_teardowns.cpp:362,0,31,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u006137f0.cpp(64) : error C2065: 'TeardownFlags009B9014' : undeclared identifier
u006137f0.cpp(64) : error C2100: illegal indirection
u006137f0.cpp(70) : error C2100: illegal indirection
u006137f0.cpp(71) : error C2065: 'g_FILEWIN_SPRITE_2' : undeclared identifier
u006137f0.cpp(71) : error C2065: 'TeardownTarget005E3820' : undeclared identifier
u006137f0.cpp(71) : error C2297: '->*' : illegal, right operand has type 'int'"
0x00613810,??__Eg_FILEWIN_SPRITE_3@@YAXXZ,src/init_thunks.cpp:4455,1,22,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00613810.cpp(86) : error C2065: 'g_FILEWIN_SPRITE_3' : undeclared identifier
u00613810.cpp(86) : error C2065: 'SpriteInitCtor' : undeclared identifier
u00613810.cpp(86) : error C2297: '->*' : illegal, right operand has type 'int'
u00613810.cpp(87) : error C2065: 'GameAtexit' : undeclared identifier
u00613810.cpp(87) : error C2061: syntax error : identifier 'func_atexit_callback'"
0x00613830,??__Fg_FILEWIN_SPRITE_3@@YAXXZ,src/guarded_teardowns.cpp:381,0,31,primary=1;eh=0;shared=0;selfmod=0,NO_COMPILE,,,,,,,"u00613830.cpp(64) : error C2065: 'TeardownFlags009B9014' : undeclared identifier
u00613830.cpp(64) : error C2100: illegal indirection
u00613830.cpp(70) : error C2100: illegal indirection
u00613830.cpp(71) : error C2065: 'g_FILEWIN_SPRITE_3' : undeclared identifier
u00613830.cpp(71) : error C2065: 'TeardownTarget005E3820' : undeclared identifier
u00613830.cpp(71) : error C2297: '->*' : illegal, right operand has type 'int'"
