verdict,class,offset,built,detail,evidence
absent,Datalink,0x10088,Dialog,0xF4 bytes,??1Datalink@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x10088 at 0x00432516
agreed,Datalink,0x1017C,Font,font1_ 0x28,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x1017C at 0x00429059
agreed,Datalink,0x101A4,Font,font2_ 0x28,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x101A4 at 0x00429068
agreed,Datalink,0x101CC,Font,font3_ 0x28,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x101CC at 0x00429077
mistyped,Datalink,0x101F4,Font,"declared `uint8_t field_101F4_`, 0xB1A0 bytes against 0x28",??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x101F4 at 0x00429086
absent,Datalink,0x1021C,Font,0x28 bytes,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x1021C at 0x00429095
absent,Datalink,0x10244,Font,0x28 bytes,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x10244 at 0x004290A4
absent,Datalink,0x1026C,Font,0x28 bytes,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x1026C at 0x004290B3
absent,Datalink,0x10294,Font,0x28 bytes,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x10294 at 0x004290C2
absent,Datalink,0x102BC,Font,0x28 bytes,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x102BC at 0x004290D1
absent,Datalink,0x102E4,Font,0x28 bytes,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x102E4 at 0x004290E0
absent,Datalink,0x1030C,Font,0x28 bytes,??0Datalink@@QAE@XZ: call ??0Font@@QAE@XZ on this+0x1030C at 0x004290EF
absent,Datalink,0x10514,StringBox,0x2BA0 bytes,??0Datalink@@QAE@XZ: call ??0StringBox@@QAE@XZ on this+0x10514 at 0x004290FE
absent,Datalink,0x10F34,Scroll,0x214C bytes,??1Datalink@@QAE@XZ: call ??1Scroll@@QAE@XZ on this+0x10F34 at 0x0043244A
absent,Datalink,0x130B4,StringBox,0x2BA0 bytes,??0Datalink@@QAE@XZ: call ??0StringBox@@QAE@XZ on this+0x130B4 at 0x0042910D
absent,Datalink,0x13AD4,Scroll,0x214C bytes,??1Datalink@@QAE@XZ: call ??1Scroll@@QAE@XZ on this+0x13AD4 at 0x004323ED
absent,Datalink,0x15C54,StringBox,0x2BA0 bytes,??0Datalink@@QAE@XZ: call ??0StringBox@@QAE@XZ on this+0x15C54 at 0x0042911C
absent,Datalink,0x16674,Scroll,0x214C bytes,??1Datalink@@QAE@XZ: call ??1Scroll@@QAE@XZ on this+0x16674 at 0x0043238F
