verdict,class,offset,built,detail,evidence
agreed,MainInterface,0x1EACC,StringBox,string_box_ 0x2BA0,??1MainInterface@@QAE@XZ: call ?close@StringBox@@QAEXXZ on this+0x1EACC at 0x0045EDA5
absent,MainInterface,0x1F4EC,Scroll,0x214C bytes,??1MainInterface@@QAE@XZ: call ?close@Scroll@@QAEXXZ on this+0x1F4EC at 0x0045EE3C
absent,MainInterface,0x1FF98,FlatButton,0xB4C bytes,??1MainInterface@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x1FF98 at 0x0045EE8C
absent,MainInterface,0x20AE4,FlatButton,0xB4C bytes,??1MainInterface@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x20AE4 at 0x0045EE5E
agreed,MainInterface,0x2166C,Font,font1_ 0x28,??1MainInterface@@QAE@XZ: call ??1Font@@QAE@XZ on this+0x2166C at 0x0045ED81
agreed,MainInterface,0x21694,Font,font2_ 0x28,??1MainInterface@@QAE@XZ: call ??1Font@@QAE@XZ on this+0x21694 at 0x0045ED72
agreed,MainInterface,0x216BC,Font,font3_ 0x28,??1MainInterface@@QAE@XZ: call ??1Font@@QAE@XZ on this+0x216BC at 0x0045ED63
agreed,MainInterface,0x22DFC,Sprite,sprite11_ 0x2C,??1MainInterface@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x22DFC at 0x0045EC5A
agreed,MainInterface,0x24550,Flic,flic2_ 0xAE4,??1MainInterface@@QAE@XZ: call ?close@Flic@@QAEXXZ on this+0x24550 at 0x0045EBE2
absent,MainInterface,0x24554,Buffer,0x588 bytes,??1MainInterface@@QAE@XZ: call ??1Buffer@@QAE@XZ on this+0x24554 at 0x0045EBFD
absent,MainInterface,0x24B0C,Palette,0x454 bytes,??1MainInterface@@QAE@XZ: call ??1Palette@@QAE@XZ on this+0x24B0C at 0x0045EBF1
agreed,MainInterface,0x25034,Spot,spot_ 0xC,??1MainInterface@@QAE@XZ: call ??1Spot@@QAE@XZ on this+0x25034 at 0x0045EBCE
agreed,MainInterface,0x25040,Time,time1_ 0x28,??1MainInterface@@QAE@XZ: call ??1Time@@QAE@XZ on this+0x25040 at 0x0045EBBF
agreed,MainInterface,0x25068,Time,time2_ 0x28,??1MainInterface@@QAE@XZ: call ??1Time@@QAE@XZ on this+0x25068 at 0x0045EBB0
absent,MapWin,0x1DB0C,TextureStore,0x8 bytes,??0MapWin@@QAE@H@Z: call ??0TextureStore@@QAE@XZ on this+0x1DB0C at 0x00462774
absent,MapWin,0x1DE28,Buffer,0x588 bytes,??0MapWin@@QAE@H@Z: call ??0Buffer@@QAE@XZ on this+0x1DE28 at 0x00462783
absent,MapWin,0x1E3B0,Buffer,0x588 bytes,??0MapWin@@QAE@H@Z: call ??0Buffer@@QAE@XZ on this+0x1E3B0 at 0x00462792
absent,MapWin,0x1E938,Buffer,0x588 bytes,??0MapWin@@QAE@H@Z: call ??0Buffer@@QAE@XZ on this+0x1E938 at 0x004627A1
absent,MapWin,0x1EEC8,Font,0x28 bytes,??0MapWin@@QAE@H@Z: call ??0Font@@QAE@XZ on this+0x1EEC8 at 0x004627B0
absent,MapWin,0x1EEF4,Font,0x28 bytes,??0MapWin@@QAE@H@Z: call ??0Font@@QAE@XZ on this+0x1EEF4 at 0x004627BF
absent,MapWin,0x1EF20,Font,0x28 bytes,??0MapWin@@QAE@H@Z: call ??0Font@@QAE@XZ on this+0x1EF20 at 0x004627CE
absent,MapWin,0x21A6C,GraphicWin,0xA14 bytes,??0MapWin@@QAE@H@Z: call ??0GraphicWin@@QAE@XZ on this+0x21A6C at 0x0046271A
base,Menu,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",??0Menu@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x005FAC7E
agreed,Menu,0xA2C,Spot,spot_ 0xC,??0Menu@@QAE@XZ: call ??0Spot@@QAE@XZ on this+0xA2C at 0x005FAC8F
base,MessageWin,0x0,Sprite,src/ bases: ['Sprite'],??1MessageWin@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x0 at 0x0047216E
agreed,MessageWin,0x3C,Font,font_ 0x28,??1MessageWin@@QAE@XZ: call ??1Font@@QAE@XZ on this+0x3C at 0x00472160
agreed,MessageWin,0x64,ListBox,listBox_ 0xB54,?init@MessageWin@@QAEXXZ: call ?close@ListBox@@QAEXXZ on this+0x64 at 0x00471DE4
absent,MessageWin,0xAC,ListBox,0xB54 bytes,??1MessageWin@@QAE@XZ: call ??1ListBox@@QAE@XZ on this+0xAC at 0x00472142
absent,MessageWin,0xAC4,Dialog,0xF4 bytes,??1MessageWin@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0xAC4 at 0x0047214D
agreed,MessageWin,0xBB8,StringBox,stringBox_ 0x2BA0,??1MessageWin@@QAE@XZ: call ?close@StringBox@@QAEXXZ on this+0xBB8 at 0x00472069
absent,MessageWin,0x15D8,Scroll,0x214C bytes,??1MessageWin@@QAE@XZ: call ?close@Scroll@@QAEXXZ on this+0x15D8 at 0x004720DE
absent,MessageWin,0x2084,FlatButton,0xB4C bytes,??1MessageWin@@QAE@XZ: call ??1FlatButton@@QAE@XZ on this+0x2084 at 0x0047211B
absent,MessageWin,0x2BD0,FlatButton,0xB4C bytes,??1MessageWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x2BD0 at 0x00472100
absent,MessageWin,0x3744,StringStruct,0x24 bytes,??1MessageWin@@QAE@XZ: call ?close@StringStruct@@QAEXXZ on this+0x3744 at 0x004720A5
at-zero,MonuWin,0x0,GraphicWin,src/ bases: [],?close@MonuWin@@QAEXXZ: call ?close@GraphicWin@@QAEXXZ on this+0x0 at 0x0047676D
agreed,MonuWin,0xA58,FlatButton,flatButton1_ 0xB4C,??1MonuWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xA58 at 0x00477C4B
agreed,MonuWin,0x15A4,FlatButton,flatButton2_ 0xB4C,??1MonuWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x15A4 at 0x00477C1C
agreed,MonuWin,0x20F0,Spot,spot_ 0xC,??1MonuWin@@QAE@XZ: call ??1Spot@@QAE@XZ on this+0x20F0 at 0x00477BF8
agreed,MonuWin,0x20FC,Buffer,buffer1_ 0x588,??1MonuWin@@QAE@XZ: call ??1Buffer@@QAE@XZ on this+0x20FC at 0x00477BE9
agreed,MonuWin,0x2684,Buffer,buffer2_ 0x588,??1MonuWin@@QAE@XZ: call ??1Buffer@@QAE@XZ on this+0x2684 at 0x00477BDA
agreed,MonuWin,0x3614,Sprite,sprite8_ 0x2C,??1MonuWin@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x3614 at 0x00477B4E
agreed,MonuWin,0x3640,Sprite,sprite9_ 0x2C,??1MonuWin@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x3640 at 0x00477B3F
base,MultiDebug,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",??0MultiDebug@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x005C980F
agreed,MultiDebug,0xA14,Font,font_ 0x28,??0MultiDebug@@QAE@XZ: call ??0Font@@QAE@XZ on this+0xA14 at 0x005C9821
absent,MultiDebug,0xA40,Time,0x28 bytes,??0MultiDebug@@QAE@XZ: call ??0Time@@QAE@XZ on this+0xA40 at 0x005C9830
at-zero,MultiWin,0x0,GraphicWin,src/ bases: [],??1MultiWin@@QAE@XZ: call ??1GraphicWin@@QAE@XZ on this+0x0 at 0x0047A575
agreed,MultiWin,0xA54,Buffer,buffer_ 0x588,??1MultiWin@@QAE@XZ: call ??1Buffer@@QAE@XZ on this+0xA54 at 0x0047A567
agreed,MultiWin,0x10E4,Sprite,sprite3_ 0x2C,??1MultiWin@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x10E4 at 0x0047A526
agreed,MultiWin,0x1110,Sprite,sprite4_ 0x2C,??1MultiWin@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x1110 at 0x0047A517
agreed,MultiWin,0x113C,Sprite,sprite5_ 0x2C,??1MultiWin@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x113C at 0x0047A508
agreed,MultiWin,0x116C,Sprite,sprite6_ 0x2C,??1MultiWin@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x116C at 0x0047A4F9
agreed,MultiWin,0x1198,Sprite,sprite7_ 0x2C,??1MultiWin@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x1198 at 0x0047A4EA
agreed,MultiWin,0x11C4,FlatButton,flatButton1_ 0xB4C,??1MultiWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x11C4 at 0x0047A4D0
agreed,MultiWin,0x1D10,FlatButton,flatButton2_ 0xB4C,??1MultiWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x1D10 at 0x0047A4A1
agreed,MultiWin,0x285C,Font,font1_ 0x28,??1MultiWin@@QAE@XZ: call ??1Font@@QAE@XZ on this+0x285C at 0x0047A47D
agreed,MultiWin,0x2884,Font,font2_ 0x28,??1MultiWin@@QAE@XZ: call ??1Font@@QAE@XZ on this+0x2884 at 0x0047A46E
agreed,MultiWin,0x28AC,Spot,spot_ 0xC,??1MultiWin@@QAE@XZ: call ??1Spot@@QAE@XZ on this+0x28AC at 0x0047A45F
absent,Net,0x58,VoiceTx,0x58 bytes,??1Net@@QAE@XZ: call ??1VoiceTx@@QAE@XZ on this+0x58 at 0x004E3646
absent,Net,0xE8,NetFifo,0x10 bytes,??1Net@@QAE@XZ: call ??1NetFifo@@QAE@XZ on this+0xE8 at 0x004E358B
absent,Net,0x10C,NetFifo,0x10 bytes,??1Net@@QAE@XZ: call ??1NetFifo@@QAE@XZ on this+0x10C at 0x004E357C
absent,Net,0x130,NetFifo,0x10 bytes,??1Net@@QAE@XZ: call ??1NetFifo@@QAE@XZ on this+0x130 at 0x004E356D
base,NetDaemon,0x0,AlphaNet,src/ bases: ['AlphaNet'],?init@NetDaemon@@QAEHH@Z: call ?close@AlphaNet@@QAEXXZ on this+0x0 at 0x0052E00E
absent,NetDaemon,0x58,VoiceTx,0x58 bytes,??1NetDaemon@@QAE@XZ: call ??1VoiceTx@@QAE@XZ on this+0x58 at 0x00538EA8
absent,NetDaemon,0xB0,JackalVoiceRx,0x18 bytes,??1NetDaemon@@QAE@XZ: call ??1JackalVoiceRx@@QAE@XZ on this+0xB0 at 0x00538E80
absent,NetDaemon,0xE8,NetFifo,0x10 bytes,??1NetDaemon@@QAE@XZ: call ??1NetFifo@@QAE@XZ on this+0xE8 at 0x00538E55
absent,NetDaemon,0x10C,NetFifo,0x10 bytes,??1NetDaemon@@QAE@XZ: call ??1NetFifo@@QAE@XZ on this+0x10C at 0x00538E46
absent,NetDaemon,0x130,NetFifo,0x10 bytes,??1NetDaemon@@QAE@XZ: call ??1NetFifo@@QAE@XZ on this+0x130 at 0x00538E37
base,NetMsg,0x0,Popup,"src/ bases: ['BasePop', 'GraphicWin', 'Popup', 'Win']",??0NetMsg@@QAE@HHH@Z: call ??0Popup@@QAE@XZ on this+0x0 at 0x0047AD0F
agreed,NetMsg,0xA5C,FlatButton,Popup::BasePop::flat_button1_ 0xB4C,??1NetMsg@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xA5C at 0x0047AF94
agreed,NetMsg,0x15A8,FlatButton,Popup::BasePop::flat_button2_ 0xB4C,??1NetMsg@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x15A8 at 0x0047AF69
agreed,NetMsg,0x2118,Sprite,Popup::BasePop::sprite_ 0x2C,??1NetMsg@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x2118 at 0x0047AF44
mistyped,NetMsg,0x219C,StringStruct,"declared `uint32_t Popup::BasePop::field_219C_`, 0x4 bytes against 0x24",??1NetMsg@@QAE@XZ: call ?close@StringStruct@@QAEXXZ on this+0x219C at 0x0047AF07
absent,NetMsg,0x2358,Dialogs,0xC94 bytes,??1NetMsg@@QAE@XZ: call ??1Dialogs@@QAE@XZ on this+0x2358 at 0x0047AEB9
absent,NetMsg,0x2D70,Dialog,0xF4 bytes,??1NetMsg@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x2D70 at 0x0047AEC4
agreed,NetMsg,0x3098,Spot,Popup::BasePop::spot_ 0xC,??1NetMsg@@QAE@XZ: call ??1Spot@@QAE@XZ on this+0x3098 at 0x0047AEA8
agreed,NetMsg,0x3230,Scroll,Popup::scroll_ 0x214C,??1NetMsg@@QAE@XZ: call ?close@Scroll@@QAEXXZ on this+0x3230 at 0x0047AE12
absent,NetMsg,0x3CDC,FlatButton,0xB4C bytes,??1NetMsg@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x3CDC at 0x0047AE65
absent,NetMsg,0x4828,FlatButton,0xB4C bytes,??1NetMsg@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x4828 at 0x0047AE36
agreed,NetMsg,0x538C,Time,timer_ 0x28,?close@NetMsg@@QAEXXZ: call ?close@Time@@QAEXXZ on this+0x538C at 0x0047A7ED
base,NetWin,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",??0NetWin@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x00481C6F
absent,NetWin,0x1C,CheckBox,0xB28 bytes,?UNK4@NetWin@@QAEXXZ: call ??1CheckBox@@QAE@XZ on this+0x1C at 0x004837F9
mistyped,NetWin,0xA34,Dialog,"declared `uint32_t field_A34_`, 0x4 bytes against 0xF4",?UNK4@NetWin@@QAEXXZ: call ??1Dialog@@QAE@XZ on this+0xA34 at 0x00483804
agreed,NetWin,0xD34,Spot,spot_ 0xC,??0NetWin@@QAE@XZ: call ??0Spot@@QAE@XZ on this+0xD34 at 0x00481C81
agreed,NetWin,0xD40,StringBox,stringBox_ 0x2BA0,??0NetWin@@QAE@XZ: call ??0StringBox@@QAE@XZ on this+0xD40 at 0x00481C90
absent,NetWin,0x1760,Scroll,0x214C bytes,??1NetWin@@QAE@XZ: call ?close@Scroll@@QAEXXZ on this+0x1760 at 0x0048370F
absent,NetWin,0x220C,FlatButton,0xB4C bytes,??1NetWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x220C at 0x0048375F
absent,NetWin,0x2D58,FlatButton,0xB4C bytes,??1NetWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x2D58 at 0x00483731
agreed,NetWin,0x38E0,EditBox,editBox_ 0xB74,??0NetWin@@QAE@XZ: call ??0EditBox@@QAE@XZ on this+0x38E0 at 0x00481C9F
absent,NetWin,0x442C,Time,0x28 bytes,??1NetWin@@QAE@XZ: call ??1Time@@QAE@XZ on this+0x442C at 0x00483649
agreed,NetWin,0x4454,CheckBox,checkBox_ 0xB28,??0NetWin@@QAE@XZ: call ??0CheckBox@@QAE@H@Z on this+0x4454 at 0x00481CB0
absent,NetWin,0x4470,CheckBox,0xB28 bytes,??1NetWin@@QAE@XZ: call ??1CheckBox@@QAE@XZ on this+0x4470 at 0x00483604
absent,NetWin,0x4E88,Dialog,0xF4 bytes,??1NetWin@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x4E88 at 0x0048360F
agreed,NetWin,0x4F7C,FlatButton,flatButton1_ 0xB4C,??0NetWin@@QAE@XZ: call ??0FlatButton@@QAE@XZ on this+0x4F7C at 0x00481CBF
agreed,NetWin,0x5AC8,FlatButton,flatButton2_ 0xB4C,??0NetWin@@QAE@XZ: call ??0FlatButton@@QAE@XZ on this+0x5AC8 at 0x00481CCE
base,NewTechWin,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",?exec@NewTechWin@@QAEXHH@Z: call ?close@GraphicWin@@QAEXXZ on this+0x0 at 0x004847FC
agreed,NewTechWin,0x2D10,ButtonGroup,buttonGroup_ 0x94,??1NewTechWin@@QAE@XZ: call ?close@ButtonGroup@@QAEXXZ on this+0x2D10 at 0x0048498D
agreed,NewTechWin,0xDC24,StringBox,stringBox2_ 0x2BA0,??1NewTechWin@@QAE@XZ: call ?close@StringBox@@QAEXXZ on this+0xDC24 at 0x00484859
absent,NewTechWin,0xE644,Scroll,0x214C bytes,??1NewTechWin@@QAE@XZ: call ?close@Scroll@@QAEXXZ on this+0xE644 at 0x004848F0
absent,NewTechWin,0xF0F0,FlatButton,0xB4C bytes,??1NewTechWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xF0F0 at 0x00484940
absent,NewTechWin,0xFC3C,FlatButton,0xB4C bytes,??1NewTechWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xFC3C at 0x00484912
at-zero,PickTech,0x0,GraphicWin,src/ bases: [],??0PickTech@@QAE@XZ: call ??0GraphicWin@@QAE@XZ on this+0x0 at 0x00484AE0
agreed,PickTech,0xBBC,Font,font1_ 0x28,??0PickTech@@QAE@XZ: call ??0Font@@QAE@XZ on this+0xBBC at 0x00484AF0
agreed,PickTech,0xBE4,Font,font2_ 0x28,??0PickTech@@QAE@XZ: call ??0Font@@QAE@XZ on this+0xBE4 at 0x00484AFF
agreed,PickTech,0xC0C,Font,font3_ 0x28,??0PickTech@@QAE@XZ: call ??0Font@@QAE@XZ on this+0xC0C at 0x00484B0E
agreed,PickTech,0xC34,Font,font4_ 0x28,??0PickTech@@QAE@XZ: call ??0Font@@QAE@XZ on this+0xC34 at 0x00484B1D
base,PickWin,0x0,GraphicWin,"src/ bases: ['GraphicWin', 'Win']",??1PickWin@@QAE@XZ: call ??1GraphicWin@@QAE@XZ on this+0x0 at 0x0048ABF3
agreed,PickWin,0xA24,Popup,popup_ 0x537C,??1PickWin@@QAE@XZ: call ?close@Popup@@QAEXXZ on this+0xA24 at 0x0048AB6E
absent,PickWin,0x3C54,Scroll,0x214C bytes,??1PickWin@@QAE@XZ: call ?close@Scroll@@QAEXXZ on this+0x3C54 at 0x0048AB92
absent,PickWin,0x4700,FlatButton,0xB4C bytes,??1PickWin@@QAE@XZ: call ??1FlatButton@@QAE@XZ on this+0x4700 at 0x0048ABCF
absent,PickWin,0x524C,FlatButton,0xB4C bytes,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x524C at 0x0048ABB4
agreed,PickWin,0x628C,FlatButton,flatButton1_ 0xB4C,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x628C at 0x0048AB3F
agreed,PickWin,0x6DD8,FlatButton,flatButton2_ 0xB4C,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x6DD8 at 0x0048AB14
agreed,PickWin,0x7924,FlatButton,flatButton3_ 0xB4C,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x7924 at 0x0048AAE9
agreed,PickWin,0x8680,Sprite,sprite5_ 0x2C,??1PickWin@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x8680 at 0x0048AA65
agreed,PickWin,0x86BC,ListBox,listBox_ 0xB54,?init@PickWin@@QAEXP6AXH@ZHH@Z: call ?close@ListBox@@QAEXXZ on this+0x86BC at 0x0048920D
absent,PickWin,0x8704,ListBox,0xB54 bytes,??1PickWin@@QAE@XZ: call ??1ListBox@@QAE@XZ on this+0x8704 at 0x0048AA44
absent,PickWin,0x911C,Dialog,0xF4 bytes,??1PickWin@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x911C at 0x0048AA4F
agreed,PickWin,0x9270,FlatButton,flatButton4_ 0xB4C,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x9270 at 0x0048AA28
agreed,PickWin,0x9DBC,FlatButton,flatButton5_ 0xB4C,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x9DBC at 0x0048A9FD
agreed,PickWin,0xA908,FlatButton,flatButton6_ 0xB4C,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xA908 at 0x0048A9D2
agreed,PickWin,0xB454,FlatButton,flatButton7_ 0xB4C,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xB454 at 0x0048A9A7
agreed,PickWin,0xBFA0,FlatButton,flatButton8_ 0xB4C,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xBFA0 at 0x0048A97C
agreed,PickWin,0xCAEC,FlatButton,flatButton9_ 0xB4C,??1PickWin@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xCAEC at 0x0048A951
agreed,PickWin,0x125BC,ButtonGroup,buttonGroup_ 0x94,??1PickWin@@QAE@XZ: call ?close@ButtonGroup@@QAEXXZ on this+0x125BC at 0x0048A910
at-zero,PlanWin,0x0,MapWin,src/ bases: [],??0PlanWin@@QAE@H@Z: call ??0MapWin@@QAE@H@Z on this+0x0 at 0x0048BD1C
agreed,PlanWin,0x21A70,Buffer,buffer_ 0x588,??0PlanWin@@QAE@H@Z: call ??0Buffer@@QAE@XZ on this+0x21A70 at 0x0048BD2E
agreed,PlanWin,0x22050,GraphicWin,virtual_base_ 0xA14,??0PlanWin@@QAE@H@Z: call ??0GraphicWin@@QAE@XZ on this+0x22050 at 0x0048BD0A
at-zero,PopMenu,0x0,Popup,"src/ bases: ['BasePop', 'GraphicWin', 'Win']",??1PopMenu@@QAE@XZ: call ?close@Popup@@QAEXXZ on this+0x0 at 0x00421450
agreed,PopMenu,0xA5C,FlatButton,BasePop::flat_button1_ 0xB4C,??1PopMenu@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xA5C at 0x004215F6
agreed,PopMenu,0x15A8,FlatButton,BasePop::flat_button2_ 0xB4C,??1PopMenu@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x15A8 at 0x004215CB
agreed,PopMenu,0x2118,Sprite,BasePop::sprite_ 0x2C,??1PopMenu@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x2118 at 0x004215A6
mistyped,PopMenu,0x219C,StringStruct,"declared `uint32_t BasePop::field_219C_`, 0x4 bytes against 0x24",??1PopMenu@@QAE@XZ: call ?close@StringStruct@@QAEXXZ on this+0x219C at 0x00421569
absent,PopMenu,0x2358,Dialogs,0xC94 bytes,??1PopMenu@@QAE@XZ: call ??1Dialogs@@QAE@XZ on this+0x2358 at 0x0042151B
absent,PopMenu,0x2D70,Dialog,0xF4 bytes,??1PopMenu@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x2D70 at 0x00421526
agreed,PopMenu,0x3098,Spot,BasePop::spot_ 0xC,??1PopMenu@@QAE@XZ: call ??1Spot@@QAE@XZ on this+0x3098 at 0x0042150A
mistyped,PopMenu,0x3230,Scroll,"declared `uint8_t field_3230_`, 0x1A40 bytes against 0x214C",??1PopMenu@@QAE@XZ: call ?close@Scroll@@QAEXXZ on this+0x3230 at 0x00421474
absent,PopMenu,0x3CDC,FlatButton,0xB4C bytes,??1PopMenu@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x3CDC at 0x004214C7
absent,PopMenu,0x4828,FlatButton,0xB4C bytes,??1PopMenu@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x4828 at 0x00421498
absent,PopMenu,0x537C,PullDown,0xF40 bytes,??1PopMenu@@QAE@XZ: call ??1PullDown@@QAE@XZ on this+0x537C at 0x00421432
base,Popup,0x0,BasePop,"src/ bases: ['BasePop', 'GraphicWin', 'Win']",??0Popup@@QAE@XZ: call ??0BasePop@@QAE@XZ on this+0x0 at 0x004048BF
agreed,Popup,0xA5C,FlatButton,BasePop::flat_button1_ 0xB4C,??1Popup@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0xA5C at 0x00406E14
agreed,Popup,0x15A8,FlatButton,BasePop::flat_button2_ 0xB4C,??1Popup@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x15A8 at 0x00406DE9
agreed,Popup,0x2118,Sprite,BasePop::sprite_ 0x2C,??1Popup@@QAE@XZ: call ?close@Sprite@@QAEXXZ on this+0x2118 at 0x00406DC4
mistyped,Popup,0x216C,StringStruct,"declared `uint32_t BasePop::field_216C_`, 0x4 bytes against 0x24",??1Popup@@QAE@XZ: call ?close@StringStruct@@QAEXXZ on this+0x216C at 0x00406DA6
mistyped,Popup,0x219C,StringStruct,"declared `uint32_t BasePop::field_219C_`, 0x4 bytes against 0x24",??1Popup@@QAE@XZ: call ?close@StringStruct@@QAEXXZ on this+0x219C at 0x00406D5C
absent,Popup,0x2358,Dialogs,0xC94 bytes,??1Popup@@QAE@XZ: call ??1Dialogs@@QAE@XZ on this+0x2358 at 0x00406D0E
absent,Popup,0x2D70,Dialog,0xF4 bytes,??1Popup@@QAE@XZ: call ??1Dialog@@QAE@XZ on this+0x2D70 at 0x00406D19
agreed,Popup,0x3098,Spot,BasePop::spot_ 0xC,??1Popup@@QAE@XZ: call ??1Spot@@QAE@XZ on this+0x3098 at 0x00406CFD
agreed,Popup,0x3230,Scroll,scroll_ 0x214C,??0Popup@@QAE@XZ: call ??0Scroll@@QAE@XZ on this+0x3230 at 0x004048D1
absent,Popup,0x3CDC,FlatButton,0xB4C bytes,??1Popup@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x3CDC at 0x00406CBA
absent,Popup,0x4828,FlatButton,0xB4C bytes,??1Popup@@QAE@XZ: call ?close@FlatButton@@QAEXXZ on this+0x4828 at 0x00406C8B
at-zero,PrefWin,0x0,GraphicWin,src/ bases: [],??1PrefWin@@QAE@XZ: call ??1GraphicWin@@QAE@XZ on this+0x0 at 0x004921C9
agreed,PrefWin,0xA60,FlatButton,bscPrefButton_ 0xB4C,??1PrefWin@@QAE@XZ: call ??1FlatButton@@QAE@XZ on this+0xA60 at 0x004921BB
agreed,PrefWin,0x15AC,FlatButton,advPrefButton_ 0xB4C,??1PrefWin@@QAE@XZ: call ??1FlatButton@@QAE@XZ on this+0x15AC at 0x004921AC
agreed,PrefWin,0x20F8,FlatButton,warnPrefButton_ 0xB4C,??1PrefWin@@QAE@XZ: call ??1FlatButton@@QAE@XZ on this+0x20F8 at 0x0049219D
agreed,PrefWin,0x2C44,FlatButton,autoPrefButton_ 0xB4C,??1PrefWin@@QAE@XZ: call ??1FlatButton@@QAE@XZ on this+0x2C44 at 0x0049218E
agreed,PrefWin,0x3790,FlatButton,audioVisPrefButton_ 0xB4C,??1PrefWin@@QAE@XZ: call ??1FlatButton@@QAE@XZ on this+0x3790 at 0x0049217F
agreed,PrefWin,0x42DC,FlatButton,mapPrefButton_ 0xB4C,??1PrefWin@@QAE@XZ: call ??1FlatButton@@QAE@XZ on this+0x42DC at 0x00492170
agreed,PrefWin,0x4E28,FlatButton,gammaButton_ 0xB4C,??1PrefWin@@QAE@XZ: call ??1FlatButton@@QAE@XZ on this+0x4E28 at 0x00492161
agreed,PrefWin,0x5974,CheckBox,bscPrefCheckBox_ 0xB28,?init@PrefWin@@QAEXXZ: call ?close@CheckBox@@QAEXXZ on this+0x5974 at 0x0048DE09
agreed,PrefWin,0x649C,CheckBox,advPrefCheckBox_ 0xB28,?init@PrefWin@@QAEXXZ: call ?close@CheckBox@@QAEXXZ on this+0x649C at 0x0048E0A6
agreed,PrefWin,0x6FC4,CheckBox,autoPrefCheckBox_ 0xB28,?init@PrefWin@@QAEXXZ: call ?close@CheckBox@@QAEXXZ on this+0x6FC4 at 0x0048E435
agreed,PrefWin,0x7AEC,CheckBox,audioVisPrefCheckBox_ 0xB28,?init@PrefWin@@QAEXXZ: call ?close@CheckBox@@QAEXXZ on this+0x7AEC at 0x0048E861
