class,size,evidence
Base,0x134,stated in Yitzi's variables.txt
Faction,0x20CC,stated in Yitzi's variables.txt
RulesFacility,0x30,stated in Yitzi's variables.txt
Veh,0x34,stated in Yitzi's variables.txt
VehPrototype,0x34,stated in Yitzi's variables.txt
