address,name,shape
0x00401060,?close@StringStruct@@QAEXXZ,loop
0x00401560,?seek_id@StringStruct@@QAEHH@Z,loop
0x00401640,?current_id@StringStruct@@QAEHXZ,straight_line
0x00402500,?next_entry@StringStruct@@QAEHXZ,straight_line
0x00402530,?current_entry@StringStruct@@QAEHXZ,straight_line
0x00402970,StringStruct::remove_all,loop
0x00402F10,??__Eg_ALPHAMENU_WAVE@@YAXXZ,seam_forwarding
0x00402F30,??__Fg_ALPHAMENU_WAVE@@YAXXZ,seam_forwarding
0x00403610,?requested_height@AlphaMenu@@QAEHXZ,straight_line
0x004041C0,?on_modal@AlphaMovie@@QAE_NXZ,straight_line
0x00404210,?on_key_click@AlphaMovie@@QAEHHH@Z,straight_line
0x00404220,?UNK2@AlphaMovie@@QAEHHHH@Z,straight_line
0x00404230,?UNK3@AlphaMovie@@QAEHH@Z,straight_line
0x00404240,?UNK4@AlphaMovie@@QAEHHHHH@Z,straight_line
0x00404250,?UNK5@AlphaMovie@@QAEHH@Z,straight_line
0x00404260,?UNK6@AlphaMovie@@QAEXHH@Z,straight_line
0x00404270,?UNK6@AlphaMovie@@QAEXH@Z,straight_line
0x00404280,?UNK7@AlphaMovie@@QAEXXZ,straight_line
0x004042A0,?UNK8@AlphaMovie@@QAEHHH@Z,straight_line
0x004043A0,??_GAlphaMovie@@UAEPAXI@Z,straight_line
0x00404420,sub_404420,loop
0x00404430,??3AlphaMovie@@SAXPAXI@Z,loop
0x00404440,??__Eg_UNUSED_SPRITE_VAR02@@YAXXZ,seam_forwarding
0x00404460,??__Fg_UNUSED_SPRITE_VAR02@@YAXXZ,seam_forwarding
0x00404470,??__Eg_UNUSED_SPRITE_VAR11@@YAXXZ,seam_forwarding
0x00404490,??__Fg_UNUSED_SPRITE_VAR11@@YAXXZ,seam_forwarding
0x004044A0,??__Eg_UNUSED_SPRITE_VAR06@@YAXXZ,seam_forwarding
0x004044C0,??__Fg_UNUSED_SPRITE_VAR06@@YAXXZ,seam_forwarding
0x004044D0,??__Eg_UNUSED_SPRITE_VAR09@@YAXXZ,seam_forwarding
0x004044F0,??__Fg_UNUSED_SPRITE_VAR09@@YAXXZ,seam_forwarding
0x00404500,??__Eg_UNUSED_SPRITE_VAR21@@YAXXZ,seam_forwarding
0x00404520,??__Fg_UNUSED_SPRITE_VAR21@@YAXXZ,seam_forwarding
0x00404530,??__Eg_UNUSED_SPRITE_VAR05@@YAXXZ,seam_forwarding
0x00404550,??__Fg_UNUSED_SPRITE_VAR05@@YAXXZ,seam_forwarding
0x00404560,??__Eg_UNUSED_SPRITE_VAR08@@YAXXZ,seam_forwarding
0x00404580,??__Fg_UNUSED_SPRITE_VAR08@@YAXXZ,seam_forwarding
0x00404590,??__Eg_UNUSED_SPRITE_VAR04@@YAXXZ,seam_forwarding
