struct,offset,field,size
BasePop,,field_2F48,4
BasePop,,field_2F4C,4
BasePop,,field_2F50,4
BasePop,,field_2F54,4
BasePop,,field_2F58,4
BasePop,,field_2F5C,4
BasePop,,field_2F60,4
BasePop,,field_2F64,4
BasePop,,field_2F68,4
BasePop,,field_2F6C,4
BasePop,,field_2F70,4
BasePop,,field_2F74,4
BasePop,,field_2F78,4
BasePop,,field_2F7C,4
BasePop,,field_2F80,4
BasePop,,field_2F84,4
BasePop,,field_2F88,4
BasePop,,field_2F8C,4
BasePop,,field_2F90,4
BasePop,,field_2F94,4
BasePop,,field_2F98,4
BasePop,,field_2F9C,4
BasePop,,field_2FA0,4
BasePop,,field_2FA4,4
BasePop,,field_2FA8,4
BasePop,,field_2FAC,4
BasePop,,field_2FB0,4
BasePop,,field_2FB4,4
BasePop,,field_2FB8,4
BasePop,,field_2FBC,4
BasePop,,field_2FC0,4
BasePop,,field_2FC4,4
BasePop,,field_2FC8,4
BasePop,,field_2FCC,4
BasePop,,field_2FD0,4
BasePop,,field_2FD4,4
BasePop,,field_2FD8,4
BasePop,,field_2FDC,4
BasePop,,field_2FE0,4
BasePop,,field_2FE4,4
BasePop,,field_2FE8,4
BasePop,,field_2FEC,4
BasePop,,field_2FF0,4
BasePop,,field_2FF4,4
BasePop,,field_2FF8,4
BasePop,,field_2FFC,4
BasePop,,field_3000,4
BasePop,,field_3004,4
BasePop,,field_3008,4
BasePop,,field_300C,4
BasePop,,field_3010,4
BasePop,,field_3014,4
BasePop,,field_3018,4
BasePop,,field_301C,4
BasePop,,field_3020,4
BasePop,,field_3024,4
BasePop,,field_3028,4
BasePop,,field_302C,4
BasePop,,field_3030,4
BasePop,,field_3034,4
BasePop,,field_3038,4
BasePop,,field_303C,4
BasePop,,field_3040,4
BasePop,,field_3044,4
BasePop,,field_3048,4
BasePop,,field_304C,4
BasePop,,field_3050,4
BasePop,,field_3054,4
BasePop,,field_3058,4
BasePop,,field_305C,4
BasePop,,field_3060,4
BasePop,,field_3064,4
BasePop,,field_3068,4
BasePop,,field_306C,4
BasePop,,field_3070,4
BasePop,,field_3074,4
BasePop,,field_3078,4
BasePop,,field_307C,4
BasePop,,field_3080,4
BasePop,,field_3084,4
BasePop,,field_3088,4
BasePop,,field_308C,4
BasePop,,field_3090,4
BasePop,,field_3094,4
BasePop,,field_30A4,4
BasePop,,field_30A8,4
BasePop,,field_30AC,4
BasePop,,field_30B0,4
BasePop,,field_30B4,4
BasePop,,field_30B8,4
BasePop,,field_30BC,4
BasePop,,field_30C0,4
BasePop,,field_30C4,4
BasePop,,field_30C8,4
BasePop,,field_30CC,4
BasePop,,field_30D0,4
BasePop,,field_30D4,4
BasePop,,field_30D8,4
BasePop,,field_30DC,4
BasePop,,field_30E0,4
BasePop,,field_30E4,4
BasePop,,field_30E8,4
BasePop,,field_30EC,4
BasePop,,field_30F0,4
BasePop,,field_30F4,4
BasePop,,field_30F8,4
BasePop,,field_30FC,4
BasePop,,field_3100,4
BasePop,,field_3104,4
BasePop,,field_3108,4
BasePop,,field_310C,4
BasePop,,field_3160,4
BasePop,,field_3164,4
BasePop,,field_3168,4
BasePop,,field_317B,1
BasePop,,field_31A0,4
BasePop,,field_31A4,4
BasePop,,field_31A8,4
BasePop,,field_31AC,4
BasePop,,field_31B0,4
BasePop,,field_31B4,4
BasePop,,field_31B8,4
BasePop,,field_31BC,4
BasePop,,field_31C0,4
BasePop,,field_31C4,4
BasePop,,field_31C8,4
BasePop,,field_31CC,4
BasePop,,field_31D0,4
BasePop,,field_31D4,4
BasePop,,field_31D8,4
BasePop,,field_31DC,4
BasePop,,field_31E0,4
BasePop,,field_31E4,4
BasePop,,field_31E8,4
BasePop,,field_31EC,4
BasePop,,field_31F0,4
BasePop,,field_31F4,4
BasePop,,field_31F8,4
BasePop,,field_31FC,4
BasePop,,field_3200,4
BasePop,,field_3204,4
BasePop,,field_3208,4
BasePop,,field_320C,4
BasePop,,field_3210,4
BasePop,,field_3214,4
BasePop,,field_3218,4
BasePop,,field_321C,4
BasePop,,field_3220,4
BasePop,,field_322C,4
BasePop,,okText,4
BasePop,,spot,
BasePop,,stringColor1A,4
BasePop,,stringColor1B,4
BasePop,,stringColor1C,4
BasePop,,stringColor1D,4
BasePop,,stringColor2A,4
BasePop,,stringColor2B,4
BasePop,,stringColor2C,4
BasePop,,stringColor2D,4
BasePop,,stringColor3A,4
BasePop,,stringColor3B,4
BasePop,,stringColor3C,4
BasePop,,stringColor3D,4
BasePop,,stringColorHyperA,4
BasePop,,stringColorHyperB,4
BasePop,,stringColorHyperC,4
BasePop,,stringColorHyperD,4
BasePop,,stringFont1,4
BasePop,,stringFont2,4
BasePop,,stringFont3,4
BasePop,,stringFont4,4
BasePop,0xA14,field_A14,4
BasePop,0xA18,field_A18,4
BasePop,0xA1C,field_A1C,4
BasePop,0xA20,field_A20,4
BasePop,0xA24,field_A24,4
BasePop,0xA28,heap,20
BasePop,0xA3C,field_A3C,4
BasePop,0xA40,field_A40,4
BasePop,0xA44,field_A44,4
BasePop,0xA48,field_A48,4
BasePop,0xA4C,field_A4C,4
BasePop,0xA50,field_A50,4
BasePop,0xA54,field_A54,4
BasePop,0xA58,field_A58,4
BasePop,0xA5C,flatButton1,2892
BasePop,0x15A8,flatButton2,2892
BasePop,0x20F4,field_20F4,4
BasePop,0x20F8,field_20F8,4
BasePop,0x20FC,field_20FC,4
BasePop,0x2100,field_2100,4
BasePop,0x2104,field_2104,4
BasePop,0x2108,field_2108,4
BasePop,0x210C,field_210C,4
BasePop,0x2110,field_2110,4
BasePop,0x2114,field_2114,4
BasePop,0x2118,sprite,44
BasePop,0x2144,field_2144,4
BasePop,0x2148,field_2148,4
BasePop,0x214C,field_214C,4
BasePop,0x2150,field_2150,4
BasePop,0x2154,field_2154,4
BasePop,0x2158,field_2158,4
BasePop,0x215C,field_215C,4
BasePop,0x2160,field_2160,4
BasePop,0x2164,field_2164,4
BasePop,0x2168,field_2168,4
BasePop,0x216C,field_216C,4
BasePop,0x2170,field_2170,4
BasePop,0x2174,field_2174,4
BasePop,0x2178,field_2178,4
BasePop,0x217C,field_217C,4
BasePop,0x2180,field_2180,4
BasePop,0x2184,field_2184,4
BasePop,0x2188,field_2188,4
BasePop,0x218C,field_218C,4
BasePop,0x2190,field_2190,4
BasePop,0x2194,field_2194,4
BasePop,0x2198,field_2198,4
BasePop,0x219C,field_219C,4
BasePop,0x21A0,field_21A0,4
BasePop,0x21A4,field_21A4,4
BasePop,0x21A8,field_21A8,4
BasePop,0x21AC,field_21AC,4
BasePop,0x21B0,field_21B0,4
BasePop,0x21B4,field_21B4,4
BasePop,0x21B8,field_21B8,4
BasePop,0x21BC,field_21BC,4
BasePop,0x21C0,field_21C0,4
BasePop,0x21C4,field_21C4,4
BasePop,0x21C8,field_21C8,4
BasePop,0x21CC,field_21CC,4
BasePop,0x21D0,dialogs,
BaseWindow,,(sizeof),
BaseWindow,0xA14,field_A14,4
BaseWindow,0xA18,field_A18,4
BaseWindow,0xA1C,field_A1C,4
BaseWindow,0xA20,field_A20,4
BaseWindow,0xA24,field_A24,4
BaseWindow,0xA28,field_A28,4
BaseWindow,0xA2C,field_A2C,4
BaseWindow,0xA30,field_A30,4
BaseWindow,0xA34,field_A34,4
BaseWindow,0xA38,field_A38,4
BaseWindow,0xA3C,field_A3C,4
BaseWindow,0xA40,field_A40,4
BaseWindow,0xA44,field_A44,4
BaseWindow,0xA48,field_A48,4
BaseWindow,0xA4C,field_A4C,4
BaseWindow,0xA50,field_A50,4
BaseWindow,0xA54,field_A54,4
BaseWindow,0xA58,field_A58,4
BaseWindow,0xA5C,field_A5C,4
BaseWindow,0xA60,field_A60,4
BaseWindow,0xA64,field_A64,4
BaseWindow,0xA68,field_A68,4
BaseWindow,0xA6C,field_A6C,4
BaseWindow,0xA70,field_A70,4
BaseWindow,0xA74,field_A74,4
BaseWindow,0xA78,field_A78,4
BaseWindow,0xA7C,field_A7C,4
BaseWindow,0xA80,field_A80,4
BaseWindow,0xA84,field_A84,4
BaseWindow,0xA88,field_A88,4
BaseWindow,0xA8C,field_A8C,4
BaseWindow,0xA90,field_A90,4
BaseWindow,0xA94,field_A94,4
BaseWindow,0xA98,field_A98,4
BaseWindow,0xA9C,field_A9C,4
BaseWindow,0xAA0,field_AA0,4
BaseWindow,0xAA4,field_AA4,4
BaseWindow,0xAA8,field_AA8,4
BaseWindow,0xAAC,field_AAC,4
BaseWindow,0xAB0,field_AB0,4
BaseWindow,0xAB4,field_AB4,4
BaseWindow,0xAB8,field_AB8,4
BaseWindow,0xABC,field_ABC,4
BaseWindow,0xAC0,field_AC0,4
BaseWindow,0xAC4,field_AC4,4
BaseWindow,0xAC8,field_AC8,4
BaseWindow,0xACC,field_ACC,4
BaseWindow,0xAD0,field_AD0,4
BaseWindow,0xAD4,field_AD4,4
BaseWindow,0xAD8,field_AD8,4
BaseWindow,0xADC,field_ADC,4
BaseWindow,0xAE0,field_AE0,4
BaseWindow,0xAE4,field_AE4,4
BaseWindow,0xAE8,field_AE8,4
BaseWindow,0xAEC,field_AEC,4
BaseWindow,0xAF0,field_AF0,4
BaseWindow,0xAF4,field_AF4,4
BaseWindow,0xAF8,field_AF8,4
