class,lower_bound,evidence
PickTech,0xC48,"mov edi, dword ptr [edi + 0x10] at 0x00484BB0"
PickWin,0x12644,"mov eax, dword ptr [esi + 0x12640] at 0x004897D7"
PlanWin,0x21FFC,"mov eax, dword ptr [ecx + 0x21ff8] at 0x0048AE43"
PlayerLock,0x10,"mov dword ptr [eax + 4], 0 at 0x0058FF78"
PopMenu,0x4C70,"mov dword ptr [ebx + 0x444], 0x66974c at 0x00421488"
Popup,0x4C70,"mov dword ptr [ebx + 0x444], 0x66974c at 0x00406C7B"
PrefWin,0x1B3D0,"mov dword ptr [esi + 0x1b3cc], eax at 0x0048D96A"
ProdPicker,0xA840,"mov dword ptr [esi + 0xa83c], 0x5e at 0x00492693"
PullDown,0xF40,"mov dword ptr [esi + 0xf3c], ecx at 0x005F8889"
PushButton,0xB00,"mov dword ptr [esi + 0xafc], edx at 0x0062C004"
QuayleWin,0x2148,"mov ecx, dword ptr [esi + 0x2144] at 0x0049586F"
RadioButton,0x14,"mov dword ptr [esi + 0x10], edi at 0x0060D17D"
Random,0x4,"mov dword ptr [eax], 0 at 0x00625732"
ReplayWin,0x25274,"mov dword ptr [edi + 0xad0], eax at 0x005AD917"
ReportIf,0x2025D,"mov dl, byte ptr [ecx + 8] at 0x004A40A3"
ReportWin,0xFABC,"mov dword ptr [ebx + 0xfab8], eax at 0x00496EDC"
SAmbience,0x78,"mov eax, dword ptr [esi + 0x74] at 0x004477F6"
Scroll,0x214C,"mov dword ptr [esi + 0x2148], edi at 0x00605352"
SelectPartWin,0x464C,"mov dword ptr [esi + 0x4648], edi at 0x00432936"
ServiceStruct,0x24,"mov dword ptr [eax + 0x20], edx at 0x00401686"
SetupWin,0x11A0,"mov ecx, dword ptr [esi + 0x119c] at 0x004ADDF9"
SocialWin,0x1F2F0,"mov ecx, dword ptr [ecx + 0xc] at 0x004AFB8A"
Sound,0x54,"mov dword ptr [esi + 0x50], edi at 0x004C6107"
Spot,0xC,"mov dword ptr [ecx + 8], eax at 0x005FA825"
Sprite,0x2C,"mov dword ptr [eax + 0x28], ecx at 0x005E3811"
SpriteBox,0x88,"mov dword ptr [esi + 0x84], edi at 0x0061004F"
SpriteList,0x28,"mov eax, dword ptr [esi + 0x24] at 0x005EB2B7"
SquareLock,0xC,"mov dword ptr [ecx + 8], 0 at 0x0058FD70"
StatusWin,0x15E0,"mov dword ptr [ebx + 0x15dc], edi at 0x004B6588"
StringBox,0x2BA0,"mov edx, dword ptr [edi + 4] at 0x00432658"
StringList,0x28,"mov dword ptr [esi + 0x24], ebx at 0x00608B24"
StringStruct,0x24,"mov dword ptr [eax + 0x20], edx at 0x00401026"
